flow #181: size: 20, rem_Size: 0, arrived: 5037, src\dst:[1,6], FCT: 1761
flow #182: size: 5, rem_Size: 0, arrived: 5561, src\dst:[1,7], FCT: 1365
flow #183: size: 15, rem_Size: 0, arrived: 3557, src\dst:[1,8], FCT: 3437
flow #184: size: 64, rem_Size: 0, arrived: 3119, src\dst:[1,10], FCT: 3553
flow #185: size: 5, rem_Size: 0, arrived: 3255, src\dst:[1,11], FCT: 3706
flow #186: size: 58, rem_Size: 0, arrived: 5803, src\dst:[1,12], FCT: 736
flow #187: size: 24, rem_Size: 0, arrived: 3713, src\dst:[1,13], FCT: 759
flow #188: size: 6, rem_Size: 0, arrived: 4438, src\dst:[1,14], FCT: 72
flow #189: size: 73, rem_Size: 0, arrived: 4086, src\dst:[2,0], FCT: 2595
flow #190: size: 29, rem_Size: 0, arrived: 3532, src\dst:[2,2], FCT: 3357
flow #191: size: 17, rem_Size: 0, arrived: 4730, src\dst:[2,4], FCT: 2065
flow #192: size: 21, rem_Size: 0, arrived: 3703, src\dst:[2,5], FCT: 154
flow #193: size: 107, rem_Size: 0, arrived: 4328, src\dst:[2,7], FCT: 2260
flow #194: size: 21, rem_Size: 0, arrived: 4464, src\dst:[2,8], FCT: 2265
flow #195: size: 6, rem_Size: 0, arrived: 5173, src\dst:[2,9], FCT: 1754
flow #196: size: 13, rem_Size: 0, arrived: 3557, src\dst:[2,11], FCT: 3282
flow #197: size: 8, rem_Size: 0, arrived: 4368, src\dst:[2,12], FCT: 102
flow #198: size: 6, rem_Size: 0, arrived: 5838, src\dst:[3,0], FCT: 1190
flow #199: size: 6, rem_Size: 0, arrived: 5787, src\dst:[3,2], FCT: 1205
flow #200: size: 10, rem_Size: 0, arrived: 4153, src\dst:[3,3], FCT: 2778
flow #201: size: 11, rem_Size: 0, arrived: 3227, src\dst:[3,5], FCT: 3733
flow #202: size: 80, rem_Size: 0, arrived: 5588, src\dst:[3,7], FCT: 1100
flow #203: size: 19, rem_Size: 0, arrived: 5538, src\dst:[3,9], FCT: 1307
flow #204: size: 28, rem_Size: 0, arrived: 5760, src\dst:[3,10], FCT: 1046
flow #205: size: 89, rem_Size: 0, arrived: 3282, src\dst:[3,11], FCT: 3609
flow #206: size: 4, rem_Size: 0, arrived: 3031, src\dst:[3,12], FCT: 1050
flow #207: size: 43, rem_Size: 0, arrived: 3554, src\dst:[3,13], FCT: 3182
flow #208: size: 68, rem_Size: 0, arrived: 4078, src\dst:[3,15], FCT: 2471
flow #209: size: 42, rem_Size: 0, arrived: 4299, src\dst:[4,1], FCT: 2351
flow #210: size: 11, rem_Size: 0, arrived: 3373, src\dst:[4,2], FCT: 3660
flow #211: size: 15, rem_Size: 0, arrived: 5735, src\dst:[4,3], FCT: 1266
flow #212: size: 81, rem_Size: 0, arrived: 3156, src\dst:[4,6], FCT: 3406
flow #213: size: 23, rem_Size: 0, arrived: 4743, src\dst:[4,8], FCT: 2106
flow #214: size: 40, rem_Size: 0, arrived: 4576, src\dst:[4,11], FCT: 2172
flow #215: size: 23, rem_Size: 0, arrived: 4325, src\dst:[4,14], FCT: 2639
flow #216: size: 56, rem_Size: 0, arrived: 4546, src\dst:[4,15], FCT: 2354
flow #217: size: 17, rem_Size: 0, arrived: 3519, src\dst:[5,1], FCT: 790
flow #218: size: 98, rem_Size: 0, arrived: 5966, src\dst:[5,2], FCT: 613
flow #219: size: 7, rem_Size: 0, arrived: 5714, src\dst:[5,3], FCT: 1249
flow #220: size: 66, rem_Size: 0, arrived: 3826, src\dst:[5,5], FCT: 2841
flow #221: size: 21, rem_Size: 0, arrived: 4435, src\dst:[5,6], FCT: 2412
flow #222: size: 11, rem_Size: 0, arrived: 5060, src\dst:[5,8], FCT: 1872
flow #223: size: 45, rem_Size: 0, arrived: 4420, src\dst:[5,9], FCT: 2376
flow #224: size: 8, rem_Size: 0, arrived: 4642, src\dst:[5,10], FCT: 2238
flow #225: size: 11, rem_Size: 0, arrived: 4591, src\dst:[5,11], FCT: 2406
flow #226: size: 33, rem_Size: 0, arrived: 3448, src\dst:[5,15], FCT: 3292
flow #227: size: 99, rem_Size: 0, arrived: 4158, src\dst:[6,0], FCT: 2943
flow #228: size: 13, rem_Size: 0, arrived: 5744, src\dst:[6,1], FCT: 1095
flow #229: size: 75, rem_Size: 0, arrived: 3856, src\dst:[6,2], FCT: 2827
flow #230: size: 15, rem_Size: 0, arrived: 5442, src\dst:[6,4], FCT: 1494
flow #231: size: 6, rem_Size: 0, arrived: 3050, src\dst:[6,7], FCT: 1205
flow #232: size: 14, rem_Size: 0, arrived: 4636, src\dst:[6,8], FCT: 2250
flow #233: size: 130, rem_Size: 0, arrived: 3136, src\dst:[6,9], FCT: 3440
flow #234: size: 7, rem_Size: 0, arrived: 4335, src\dst:[6,10], FCT: 2658
flow #235: size: 10, rem_Size: 0, arrived: 5145, src\dst:[6,12], FCT: 1821
flow #236: size: 5, rem_Size: 0, arrived: 4878, src\dst:[7,0], FCT: 2083
flow #237: size: 7, rem_Size: 0, arrived: 5402, src\dst:[7,2], FCT: 1526
flow #238: size: 29, rem_Size: 0, arrived: 5150, src\dst:[7,3], FCT: 1751
flow #239: size: 3, rem_Size: 0, arrived: 4038, src\dst:[7,4], FCT: 451
flow #240: size: 4, rem_Size: 0, arrived: 5926, src\dst:[7,5], FCT: 1168
flow #241: size: 25, rem_Size: 0, arrived: 4511, src\dst:[7,7], FCT: 2222
flow #242: size: 55, rem_Size: 0, arrived: 3399, src\dst:[7,8], FCT: 3404
flow #243: size: 45, rem_Size: 0, arrived: 4124, src\dst:[7,9], FCT: 2518
flow #244: size: 8, rem_Size: 0, arrived: 3771, src\dst:[7,12], FCT: 3223
flow #245: size: 86, rem_Size: 0, arrived: 5745, src\dst:[7,13], FCT: 822
flow #246: size: 12, rem_Size: 0, arrived: 4718, src\dst:[7,15], FCT: 2120
flow #247: size: 7, rem_Size: 0, arrived: 3691, src\dst:[8,0], FCT: 3301
flow #248: size: 99, rem_Size: 0, arrived: 4889, src\dst:[8,2], FCT: 2256
flow #249: size: 11, rem_Size: 0, arrived: 3001, src\dst:[8,3], FCT: 4032
flow #250: size: 95, rem_Size: 0, arrived: 5363, src\dst:[8,4], FCT: 1213
flow #251: size: 11, rem_Size: 0, arrived: 3862, src\dst:[8,5], FCT: 3070
flow #252: size: 15, rem_Size: 0, arrived: 4200, src\dst:[8,6], FCT: 2687
flow #253: size: 5, rem_Size: 0, arrived: 4150, src\dst:[8,7], FCT: 201
flow #254: size: 1, rem_Size: 0, arrived: 3123, src\dst:[8,8], FCT: 861
flow #255: size: 8, rem_Size: 0, arrived: 3073, src\dst:[8,9], FCT: 766
flow #256: size: 7, rem_Size: 0, arrived: 3022, src\dst:[8,10], FCT: 706
flow #257: size: 14, rem_Size: 0, arrived: 3709, src\dst:[8,12], FCT: 3358
flow #258: size: 30, rem_Size: 0, arrived: 4977, src\dst:[8,14], FCT: 1761
flow #259: size: 90, rem_Size: 0, arrived: 3144, src\dst:[8,15], FCT: 3539
flow #260: size: 26, rem_Size: 0, arrived: 5405, src\dst:[9,0], FCT: 1447
flow #261: size: 1, rem_Size: 0, arrived: 5440, src\dst:[9,1], FCT: 1583
flow #262: size: 89, rem_Size: 0, arrived: 4785, src\dst:[9,3], FCT: 1785
flow #263: size: 4, rem_Size: 0, arrived: 3184, src\dst:[9,5], FCT: 3952
flow #264: size: 14, rem_Size: 0, arrived: 5631, src\dst:[9,6], FCT: 1369
