flow #105: size: 33, rem_Size: 0, arrived: 2752, src\dst:[8,13], FCT: 1515
flow #106: size: 4, rem_Size: 0, arrived: 1686, src\dst:[8,19], FCT: 3296
flow #107: size: 6, rem_Size: 0, arrived: 620, src\dst:[8,20], FCT: 4642
flow #108: size: 26, rem_Size: 0, arrived: 1290, src\dst:[8,26], FCT: 4060
flow #109: size: 17, rem_Size: 0, arrived: 713, src\dst:[8,27], FCT: 4724
flow #110: size: 8, rem_Size: 0, arrived: 422, src\dst:[8,29], FCT: 4310
flow #111: size: 11, rem_Size: 0, arrived: 2069, src\dst:[8,31], FCT: 3259
flow #112: size: 28, rem_Size: 0, arrived: 1662, src\dst:[9,4], FCT: 3943
flow #113: size: 13, rem_Size: 0, arrived: 309, src\dst:[9,6], FCT: 5338
flow #114: size: 21, rem_Size: 0, arrived: 1181, src\dst:[9,7], FCT: 4403
flow #115: size: 1, rem_Size: 0, arrived: 1177, src\dst:[9,10], FCT: 3223
flow #116: size: 5, rem_Size: 0, arrived: 2336, src\dst:[9,12], FCT: 2229
flow #117: size: 16, rem_Size: 0, arrived: 1743, src\dst:[9,17], FCT: 2761
flow #118: size: 15, rem_Size: 0, arrived: 1840, src\dst:[9,22], FCT: 3681
flow #119: size: 82, rem_Size: 0, arrived: 874, src\dst:[9,23], FCT: 4410
flow #120: size: 4, rem_Size: 0, arrived: 2522, src\dst:[9,25], FCT: 2484
flow #121: size: 58, rem_Size: 0, arrived: 781, src\dst:[9,27], FCT: 4698
flow #122: size: 80, rem_Size: 0, arrived: 1653, src\dst:[9,29], FCT: 3609
flow #123: size: 8, rem_Size: 0, arrived: 2913, src\dst:[9,30], FCT: 1961
flow #124: size: 5, rem_Size: 0, arrived: 396, src\dst:[9,31], FCT: 5062
flow #125: size: 97, rem_Size: 0, arrived: 780, src\dst:[10,1], FCT: 4370
flow #126: size: 7, rem_Size: 0, arrived: 2141, src\dst:[10,3], FCT: 3422
flow #127: size: 14, rem_Size: 0, arrived: 687, src\dst:[10,4], FCT: 4509
flow #128: size: 21, rem_Size: 0, arrived: 1745, src\dst:[10,8], FCT: 3923
flow #129: size: 12, rem_Size: 0, arrived: 1337, src\dst:[10,10], FCT: 4184
flow #130: size: 7, rem_Size: 0, arrived: 2365, src\dst:[10,14], FCT: 2041
flow #131: size: 23, rem_Size: 0, arrived: 2275, src\dst:[10,15], FCT: 3225
flow #132: size: 100, rem_Size: 0, arrived: 1395, src\dst:[10,17], FCT: 4084
flow #133: size: 60, rem_Size: 0, arrived: 1492, src\dst:[10,18], FCT: 3814
flow #134: size: 3, rem_Size: 0, arrived: 612, src\dst:[10,21], FCT: 4930
flow #135: size: 15, rem_Size: 0, arrived: 995, src\dst:[10,22], FCT: 4631
flow #136: size: 6, rem_Size: 0, arrived: 2356, src\dst:[10,23], FCT: 3102
flow #137: size: 60, rem_Size: 0, arrived: 2050, src\dst:[10,30], FCT: 3597
flow #138: size: 7, rem_Size: 0, arrived: 1743, src\dst:[11,0], FCT: 3778
flow #139: size: 7, rem_Size: 0, arrived: 561, src\dst:[11,9], FCT: 3845
flow #140: size: 15, rem_Size: 0, arrived: 2108, src\dst:[11,12], FCT: 2539
flow #141: size: 16, rem_Size: 0, arrived: 1817, src\dst:[11,13], FCT: 2723
